abide,respecter
about,sur
above,au dessus
abroad,à l'étranger
absence,absence
abuse,abuser de
according,selon
account,Compte
accuse,accuser
acquainted,connaissance
action,action
advantage,avantage
advice,Conseil
affairs,affaires
affection,affection
affections,affections
afraid,peur
after,après
afterwards,ensuite
again,encore
alive,vivant
almost,presque
alone,seul
along,le long de
already,déjà
although,bien que
always,toujours
ambition,ambition
ancient,ancien
angel,ange
anger,colère
another,un autre
answer,répondre
anything,n'importe quoi
apparel,vêtements
appear,apparaître
appears,apparaît
approach,approche
argument,argument
ariel,Ariel
armour,armure
aside,de côté
asleep,endormi
assure,assurer
athens,Athènes
attend,assister
attended,assisté
authority,autorité
avoid,éviter
awake,éveillé
awhile,quelque temps
banish,bannir
barren,Dénudé
bassianus,bassianus
bastard,Connard
battle,bataille
beard,barbe
bearing,palier
bears,ours
beast,la bête
beaten,battu
beauty,beauté
because,car
become,devenir
bedford,Bedford
before,avant
beggar,mendiant
begin,commencer
behalf,nom
behind,derrière
behold,voir
being,étant
believe,croyez
belike,être comme
below,au dessous de
benefit,avantage
besides,outre
betray,trahir
better,mieux
between,entre
beyond,au-delà
birth,naissance
bishop,évêque
bitter,amer
black,noir
blame,faire des reproches
bless,bénir
blessing,bénédiction
blest,heureux
blind,aveugle
blood,du sang
blows,coups
blunt,cru
blush,rougir
bodies,corps
bones,des os
borne,supporté
bottom,bas
bought,acheté
bound,lié
bounty,prime
brain,cerveau
brains,cerveaux
brave,courageux
breast,Sein
breath,souffle
breed,race
brief,bref
bright,brillant
bring,apporter
broke,cassé
brook,ruisseau
brother,frère
brought,apporté
brows,sourcils
burden,fardeau
buried,enterré
burning,brûlant
business,Entreprise
cannot,ne peux pas
capitol,Capitole
captain,capitaine
cardinal,cardinal
cares,se soucie
carry,porter
castle,Château
catch,capture
cause,cause
cease,cesser
certain,certain
chain,chaîne
chair,chaise
challenge,défi
chamber,chambre
chance,chance
change,changement
charge,charge
charity,charité
chaste,chaste
cheek,joue
cheer,acclamation
chide,gronder
chief,chef
child,enfant
choice,choix
church,église
cinna,cinna
citizen,citoyenne
civil,civil
claim,prétendre
clarence,clarté
claud,claud
claudio,Claudio
clear,clair
clifford,Clifford
close,proche
cloten,cailloter
clothes,vêtements
clouds,des nuages
clown,pitre
college,Université
colour,Couleur
comes,vient
comfort,confort
coming,venir
cominius,cominius
command,commander
commanded,commandé
commend,saluer
commercial,commercial
commission,commission
commit,commettre
common,commun
companion,un compagnon
company,entreprise
complete,Achevée
complexion,complexion
condition,état
conduct,conduite
confess,avouer
conscience,conscience
consent,consentement
consider,considérer
constable,gendarme
constant,constant
contempt,mépris
content,contenu
contrary,contraire
copies,copies
copyright,droits d'auteur
could,pourrait
council,conseil
counsel,Conseil
count,compter
counterfeit,contrefaire
countess,comtesse
country,pays
courage,courage
course,cours
court,tribunal
courtesy,courtoisie
cousin,cousin
coward,lâche
crave,demander
creature,créature
credit,crédit
cromwell,Cromwell
cross,traverser
crown,couronne
cruel,cruel
cunning,ruse
cupid,Cupidon
curse,malédiction
custom,Douane
dagger,dague
damned,damné
dance,Danse
danger,danger
darkness,obscurité
daughter,fille
deadly,mortel
dearest,très cher
dearly,chèrement
death,décès
deeds,actes
defend,défendre
degree,diplôme
delight,délice
deliver,livrer
demand,demande
denied,refusé
depart,partir
desert,désert
deserve,mériter
desire,le désir
despair,désespoir
desperate,désespéré
despite,malgré
device,dispositif
devil,diable
devise,concevoir
didst,didst
dinner,dîner
discourse,discours
discover,découvrir
disgrace,disgrâce
dishonour,déshonorer
dispatch,envoi
displeasure,mécontentement
disposition,disposition
distributed,distribué
divine,Divin
doctor,docteur
doing,Faire
dolabella,Dolabella
doors,des portes
double,double
doubt,doute
download,Télécharger
dramatis,dramatis
drawn,tiré
dread,crainte
dreadful,horrible
dream,rêver
dreams,rêves
drink,boisson
drops,gouttes
drown,noyer
drums,tambours
drunk,ivre
duncan,Duncan
durst,durst
dwell,habiter
dying,en train de mourir
early,de bonne heure
earth,Terre
edmund,Edmund
effect,effet
egypt,Egypte
